ORB_detection_left_height,ORB_kalman_left_height,ORB_detection_right_height,ORB_kalman_right_height,ORB_detection_top_width,ORB_kalman_top_width,ORB_detection_bottom_width,ORB_kalman_bottom_width,ORB_detection_angle,ORB_kalman_angle,ORB_detection_center_x,ORB_kalman_center_x,ORB_detection_center_y,ORB_kalman_center_y,SIFT_detection_left_height,SIFT_kalman_left_height,SIFT_detection_right_height,SIFT_kalman_right_height,SIFT_detection_top_width,SIFT_kalman_top_width,SIFT_detection_bottom_width,SIFT_kalman_bottom_width,SIFT_detection_angle,SIFT_kalman_angle,SIFT_detection_center_x,SIFT_kalman_center_x,SIFT_detection_center_y,SIFT_kalman_center_y,SURF_detection_left_height,SURF_kalman_left_height,SURF_detection_right_height,SURF_kalman_right_height,SURF_detection_top_width,SURF_kalman_top_width,SURF_detection_bottom_width,SURF_kalman_bottom_width,SURF_detection_angle,SURF_kalman_angle,SURF_detection_center_x,SURF_kalman_center_x,SURF_detection_center_y,SURF_kalman_center_y
15.7897,2.9692,7.4564,5.1157,14.8146,4.8151,0.5727,4.0533,4.3114,0.8301,2.176,1.3263,0.6581,0.9197,59.6903,1.2608,60.41,0.5411,60.2211,0.2365,60.4011,0.0565,0.3415,1.2818,318.605,2.0931,230.295,0.3189,69.1008,7.4759,69.3097,7.267,68.7059,3.4889,69.1928,3.002,7.1815,4.4031,401.9475,2.6883,295.8925,2.3062
78.1343,7.9953,34.7886,7.9985,27.7606,11.3862,59.3635,12.9162,24.8546,2.4206,0.6389,2.29,1.5991,1.8182,7.9487,1.1195,4.3715,0.2235,5.5523,0.3411,4.8845,0.8824,1.7578,1.0082,0.4903,1.1044,0.1714,0.3522,69.378,9.1113,69.3164,9.1729,68.3359,5.1157,69.8857,3.5659,6.6888,2.7421,403.7275,1.264,294.855,5.1337
12.0127,10.3677,30.9454,8.8446,6.166,13.1781,33.6059,12.6775,9.697,2.2465,1.4508,0.7923,1.9824,1.1128,62.9203,2.5508,63.28,2.1911,63.8223,0.3219,63.6464,0.4979,0.8102,1.3737,320.135,1.5888,228.14,0.8631,8.0538,7.6931,4.0372,7.6082,2.6567,6.0945,7.8047,5.339,3.2201,2.6099,2.9558,0.8675,1.4982,1.5454
21.0886,12.2456,12.5243,12.3472,10.9581,14.3665,38.475,13.3457,2.6738,0.8683,0.5492,0.7425,0.2778,0.0831,7.1632,0.8898,8.6215,0.3898,0.7198,0.2213,7.2892,0.2887,2.44,0.1471,1.7586,1.2287,0.4557,0.1108,67.977,10.1193,69.1309,8.9655,68.2524,6.786,69.4285,5.6099,5.0405,5.0391,406.08,1.2186,291.61,3.5443
6.6393,11.3402,9.5848,11.3363,8.3359,13.347,3.8783,14.0571,0.0554,1.4853,0.1277,0.8073,1.0688,1.3063,7.3341,1.2924,2.833,0.7863,2.377,0.7066,2.2581,0.3192,1.3956,2.6117,2.0572,2.118,0.2992,0.5465,68.6976,10.5089,69.0601,10.1465,68.0608,7.8901,69.192,6.7589,5.2657,6.1248,406.655,3.9996,291.0525,4.3208
124.4204,13.1307,123.9518,13.5994,126.101,13.3708,125.1138,14.3579,0.4488,0.8148,343.6475,0.0221,232.6875,1.0815,67.12,3.4994,67.8905,2.7289,68.3805,0.0419,68.6419,0.3033,0.4257,1.3435,322.565,2.6424,225.5725,0.447,68.9575,11.3593,68.9829,11.3339,68.934,7.9293,69.1929,7.6704,5.2739,7.4273,406.59,7.4206,289.45,6.1423
4.1364,10.818,10.9725,10.8195,2.8937,11.6422,16.1946,12.0022,0.1959,1.5838,0.5027,0.1933,2.3121,1.2356,68.1419,3.6181,69.6641,2.0958,68.9042,0.264,68.6542,0.514,0.6343,1.5449,323.9625,3.6035,224.49,1.0224,69.4185,11.6384,69.183,11.874,69.3363,8.1353,69.6151,7.8565,4.3993,9.1757,407.1,9.148,288.24,7.4983
14.3303,11.9333,0.6183,10.861,7.2378,9.4119,5.9739,10.4934,5.8401,2.1268,0.1051,1.0224,1.4288,1.3878,3.9148,5.2891,6.8116,5.5564,5.4928,0.6286,5.2482,0.38,1.0389,3.2329,0.1728,1.7837,0.0915,0.9413,68.5958,13.5713,68.8574,13.3098,69.3659,9.0182,69.3762,9.0078,4.1992,10.6866,405.8825,13.7215,286.59,9.3672
10.2365,10.4539,7.1833,11.268,11.5691,9.3814,2.5414,8.6594,2.2823,1.9199,0.8467,0.9463,0.9271,0.9912,2.245,5.6671,0.4846,5.4084,1.3897,1.5173,0.5325,0.746,0.6133,2.8124,0.953,1.8388,1.1756,0.0298,1.3125,9.2922,10.8417,9.4327,1.6456,7.9328,11.3774,6.1525,2.2747,3.1664,0.5639,0.9972,2.0151,1.7042
12.5141,15.6219,1.1761,15.22,9.6774,12.976,4.4235,14.1242,5.4731,0.7393,1.3434,1.7968,1.2149,0.9538,8.175,5.3614,3.7286,5.7425,0.3939,3.1265,2.8485,3.003,0.8072,1.3822,1.5241,1.5135,0.0971,0.4321,68.1826,9.8064,67.7894,10.1996,67.7384,8.4161,69.0208,7.1337,3.2475,3.0972,400.935,3.1047,280.3675,2.9943
25.1744,21.4533,3.3019,12.6198,9.5566,11.1831,102.4207,111.5429,1.9008,0.773,23.6705,25.2942,2.2299,1.3269,8.2064,6.1902,3.5397,5.6802,1.2605,3.7201,2.3602,3.7128,1.3268,1.81,2.3408,2.4011,0.4927,0.5699,68.4375,10.038,67.9433,10.5322,68.2069,8.4584,69.2416,7.4237,2.9471,3.6396,400.6775,3.8821,278.65,3.342
11.5167,14.3063,3.236,11.7594,6.1803,10.4253,0.7594,9.8906,3.4329,3.7008,1.8192,0.1136,3.0145,2.362,0.6221,5.6306,3.0192,6.1383,1.1305,3.0923,6.3035,3.3578,0.9957,0.4416,0.9732,2.5857,1.2548,0.4775,68.9675,9.8324,68.979,9.8209,69.1669,7.8389,69.4169,7.589,1.2629,5.485,399.4725,5.4338,275.975,5.1037
8.7115,13.9931,12.9132,10.9752,7.6316,9.0155,4.9129,6.9624,0.3307,3.3429,0.9815,1.1624,1.5279,1.7993,8.8876,6.525,5.9371,4.7514,2.4739,2.7724,4.344,3.2477,1.0808,2.0832,1.7807,2.6248,0.0221,0.4451,69.44,9.4495,69.2172,9.6722,68.6882,7.2402,69.7067,6.2218,2.0965,1.0907,398.1375,0.4144,274.005,0.386
10.9025,11.5581,3.5592,9.5283,7.1927,7.5745,4.8977,7.5669,3.4543,2.5802,1.6006,0.6899,2.0138,1.433,4.4945,6.3381,5.4455,5.5922,1.4348,3.9207,4.0396,3.1487,1.8441,0.9127,0.7876,2.4843,0.8462,0.8754,68.3545,10.8222,68.9829,10.1939,68.6403,7.512,70.3854,5.767,1.1967,1.8943,395.2,1.9731,270.2425,2.6818
7.1821,10.8027,8.2989,8.7632,5.3043,7.3265,4.0152,7.2933,4.7351,2.806,0.6874,1.1267,3.1741,1.248,7.2598,5.7998,0.4672,6.5543,3.9658,2.3558,1.9471,2.8698,3.58,2.2415,1.1987,2.8106,1.1098,0.1987,69.1617,10.446,69.9495,9.6582,69.4478,7.0406,70.1865,6.3019,1.2409,1.7058,393.75,2.5981,268.2825,2.4419
6.8085,5.42,3.0118,5.401,10.0669,4.0978,0.0138,5.1177,2.7515,2.7695,2.2886,1.7082,2.5743,1.8986,2.7219,6.1008,7.8837,6.8607,5.1213,3.3988,6.5259,3.4002,2.3982,1.7323,0.3791,2.58,0.1942,1.3441,3.2398,11.0569,36.363,11.0301,0.8204,10.0306,31.0729,9.261,15.6979,8.1794,0.5026,0.0567,1.0261,1.1694
4.8812,1.7528,8.3687,1.2354,11.7433,0.2412,8.7233,0.7686,1.6735,2.3385,2.0368,2.2115,2.4514,2.5652,71.4404,5.6953,71.7,5.4357,72.2,3.641,71.9505,3.8905,0.207,1.2142,335.4025,1.1574,229.005,1.5774,70.6369,10.3573,70.6625,10.3317,71.6319,9.3074,72.1313,8.808,1.9385,9.3644,389.015,0.8245,262.8925,1.4097
8.9797,0.7979,4.0406,0.7908,9.811,3.2685,2.5156,4.2784,2.3843,0.9898,1.8841,0.7364,2.3767,1.7623,71.4405,5.4958,71.1805,5.7558,71.444,3.5235,71.4417,3.5258,0.401,0.3082,336.1,2.2099,230.785,0.7111,71.2092,6.9364,72.9959,5.1496,73.0337,5.7432,73.231,5.5459,0.9937,5.9775,386.8875,0.6252,260.02,0.053
15.4891,1.784,2.9133,2.7865,9.1527,1.8973,1.5468,2.9378,5.9325,1.8364,1.4074,0.6413,2.1696,1.5103,0.2131,5.2197,9.8382,5.9811,1.6665,4.0094,14.0933,3.7634,4.337,0.0741,0.6906,1.6696,1.0075,0.887,72.2547,6.5849,74.5426,4.297,74.3033,6,74.497,5.8063,0.7845,2.5199,384.98,0.6493,257.735,0.1454
23.9455,4.3577,42.4447,3.8535,19.1288,3.8991,0.7053,4.3916,13.8245,0.0313,1.1323,0.357,3.88,2.189,71.4404,5.711,71.7,5.4515,71.6917,4.2625,71.444,4.5102,0.6095,0.5036,336.9275,1.5024,232.565,1.7939,0.5238,5.1951,9.2265,4.7124,5.0022,4.7464,5.8198,5.5198,1.9975,3.4708,0.393,0.3313,0.8237,0.0225
