P1_time_percent,P1_error_X,P1_error_Y,P1_error_Angle,P2_time_percent,P2_error_X,P2_error_Y,P2_error_Angle,P3_time_percent,P3_error_X,P3_error_Y,P3_error_Angle,P4_time_percent,P4_error_X,P4_error_Y,P4_error_Angle,P5_time_percent,P5_error_X,P5_error_Y,P5_error_Angle
2798597000000,6.48565673828,-6.28070068359,21.7296123505,2801153000000,1.29818725586,-0.646667480469,10.5121269226,2790117000000,-5.63366699219,2.41711425781,15.6948375702,2796829000000,-4.87014770508,9.15939331055,15.8268690109,2803725000000,10.3645324707,2.53733825684,20.6646003723
2798681000000,7.68481445312,-6.04273986816,22.0307884216,2801253000000,1.94467163086,-0.579376220703,9.92262935638,2790249000000,-5.41311645508,2.28407287598,15.5751667023,2796925000000,-4.78604125977,9.1333770752,15.8708372116,2803725000000,9.8610534668,1.47128295898,20.5566291809
2798753000000,8.1657409668,-6.76290893555,21.4121952057,2801357000000,1.7873840332,-0.548629760742,8.74110412598,2790357000000,-5.19256591797,2.15103149414,15.4554948807,2797001000000,-4.70193481445,9.10734558105,15.9148054123,2803833000000,10.063873291,1.42088317871,20.3433551788
2798753000000,8.05609130859,-6.92953491211,21.0346488953,2801449000000,2.15237426758,-0.877532958984,9.37324714661,2790473000000,-3.65106201172,1.93672180176,15.1105861664,2797089000000,-4.61785888672,9.0813293457,15.958773613,2803929000000,10.3862304688,1.33375549316,20.1743144989
2798961000000,8.86712646484,-7.25842285156,21.0665149689,2801453000000,1.71356201172,-0.711791992188,9.62382221222,2790577000000,-3.32028198242,1.79689025879,14.9783582687,2797169000000,-4.53375244141,9.05531311035,16.00274086,2804021000000,10.8631896973,1.37135314941,19.7198581696
2798961000000,8.70547485352,-7.66816711426,20.5243644714,2801533000000,2.06536865234,-1.13558959961,9.72573852539,2790669000000,-2.06600952148,1.31411743164,13.8406686783,2797245000000,-3.17578125,7.99674987793,18.0396537781,2804021000000,10.4843444824,1.61616516113,19.8949108124
2799061000000,9.17663574219,-7.77334594727,20.3378925323,2801633000000,1.86978149414,-0.865386962891,10.2972888947,2790669000000,-1.22494506836,2.14788818359,13.5912408829,2797349000000,-2.80133056641,7.69132995605,15.4002351761,2804133000000,10.6657409668,1.5966796875,19.6926937103
2799149000000,9.64779663086,-7.87852478027,20.1514186859,2801721000000,1.89065551758,-0.918411254883,10.2027301788,2790761000000,-0.777923583984,2.0669708252,13.4006490707,2797453000000,-2.3957824707,7.39134216309,14.3510513306,2804237000000,11.8233947754,1.7631072998,19.883934021
2799245000000,10.1189575195,-7.98370361328,19.9649467468,2801817000000,1.91152954102,-0.971420288086,10.1081705093,2790921000000,-0.330932617188,1.98606872559,13.2100572586,2797605000000,-2.62921142578,7.44380187988,14.0419454575,2804237000000,12.4375,2.40824890137,19.2841243744
2799349000000,10.5901184082,-8.08888244629,19.7784748077,2801925000000,2.5810546875,-1.56513977051,9.58469581604,2791013000000,0.475555419922,1.14436340332,13.0954408646,2797693000000,-2.45413208008,7.32376098633,13.9797677994,2804237000000,11.6964111328,2.2000579834,18.9544429779
2799457000000,12.2690734863,-7.68771362305,18.8492183685,2801925000000,3.23989868164,-1.13005065918,10.5967922211,2791117000000,0.952484130859,1.00015258789,12.9088840485,2797777000000,-1.60568237305,6.5132598877,13.1601390839,2804325000000,11.900390625,2.23065185547,18.7438144684
2799457000000,11.8087463379,-7.52984619141,18.1837863922,2802025000000,4.15881347656,-0.0616149902344,10.580745697,2791217000000,0.386901855469,0.903244018555,15.5202522278,2797853000000,-1.71139526367,6.49453735352,12.276717186,2804449000000,12.1044006348,2.26124572754,18.5331859589
2799561000000,13.0574951172,-6.97010803223,17.2306175232,2802025000000,2.96270751953,-0.766357421875,11.0942611694,2791313000000,1.56811523438,0.204971313477,14.7985515594,2798021000000,-0.558197021484,6.87759399414,11.1428899765,2804545000000,13.1856079102,1.59466552734,18.0918827057
2799561000000,12.6002502441,-7.20208740234,16.8029174805,2802121000000,3.03384399414,-0.786071777344,11.0718212128,2791313000000,1.67138671875,1.30744934082,13.2949180603,2798021000000,-0.666076660156,7.28276062012,10.9259195328,2804545000000,12.6565551758,1.84002685547,17.9888858795
2799661000000,13.3031616211,-7.51042175293,16.5431499481,2802233000000,3.10494995117,-0.805786132812,11.0493822098,2791405000000,1.9592590332,0.375595092773,13.1395788193,2798117000000,-0.999359130859,6.7751159668,10.5820226669,2804637000000,13.5029296875,1.14105224609,17.6027832031
2799765000000,13.7811584473,-7.55223083496,16.2526817322,2802333000000,4.13821411133,-1.15469360352,10.6664876938,2791497000000,2.37307739258,0.224639892578,12.9889383316,2798221000000,-0.7412109375,6.4520111084,10.4510412216,2804745000000,13.766998291,1.07527160645,17.376865387
