1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle
1.5439381388946317e+18,21.2501525879,-57.9851837158,-2.35967445374,1.5439385027375124e+18,-71.0776824951,-31.9789886475,-2.38948249817,1544027874365640758,146.351669312,-124.876922607,-42.4680366516,1.5440286516914918e+18,2.00267028809,6.54935455322,2.70149040222
1.543938139179765e+18,13.6517944336,-52.1941375732,-2.82845044136,1.5439385028316198e+18,-69.6762542725,-28.9485321045,-0.943939626217,1544027874421123020,154.642501831,-134.865219116,-43.5714073181,1.5440286516915533e+18,2.95455932617,7.34871673584,2.10920000076
1.5439381393739845e+18,13.879486084,-49.2736816406,-2.05118131638,1.5439385029214467e+18,-67.9682312012,-27.4468536377,0.754742741585,1544027874496814230,162.933334351,-144.853515625,-44.6747817993,1.5440286517910636e+18,2.56700134277,8.1604385376,2.52648425102
1.543938139588511e+18,15.1140136719,-47.0475921631,-3.61509799957,1.5439385030397586e+18,-68.512802124,-21.7328796387,1.02214276791,1544027874540904435,171.22416687,-154.841827393,-45.7781524658,1.5440286519755036e+18,-4.59101867676,10.9511184692,2.95969676971
1.5439381397507986e+18,12.5996856689,-45.0534057617,-5.98693990707,1.5439385031183086e+18,-67.6487426758,-23.2002716064,1.04783141613,1544027874604180446,179.515014648,-164.830108643,-46.881526947,1.5440286521342822e+18,-4.03921508789,12.8517608643,-2.02480769157
1.5439381397513859e+18,12.7122192383,-44.7707366943,-2.45966482162,1.543938503224175e+18,-71.4326629639,-16.273651123,-1.47765636444,1544027874679105560,187.805847168,-174.81842041,-47.9848976135,1.5440286522149317e+18,0.357971191406,17.3910293579,1.68187522888
1.5439381398668616e+18,9.75880432129,-42.8365325928,-2.22642946243,1.543938503228954e+18,-72.9273681641,-15.0101470947,-2.57403802872,1544027874725444759,196.096679688,-184.806732178,-49.0882720947,1.5440286522149788e+18,0.921035766602,17.7493438721,2.06274318695
1.5439381398685624e+18,9.83724975586,-42.678024292,0.00968793872744,1.5439385033276966e+18,-70.4790039062,-14.9757232666,-8.42961978912,1544027874785732723,204.387512207,-194.795013428,-50.1916427612,1.5440286523344422e+18,-3.43165588379,16.5010299683,1.5905970335
1.5439381400449603e+18,9.02519226074,-41.8314361572,0.525592625141,1.5439385033282775e+18,-67.9269561768,-14.9913482666,2.61335921288,1544027874844935336,212.678359985,-204.783325195,-51.2950172424,1.5440286524392663e+18,-5.13256835938,16.7024307251,1.69372415543
1.5439381402331412e+18,11.0369567871,-42.8293914795,-2.72176122665,1.5439385034330693e+18,-70.1215057373,-12.1153869629,0.0470743961632,1544027874964948338,220.969192505,-214.771636963,-52.3983879089,1.5440286525503542e+18,-9.92292785645,21.9475860596,-3.72006392479
