1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle,5_time_percent,5_error_X,5_error_Y,5_error_Angle,6_time_percent,6_error_X,6_error_Y,6_error_Angle
2821305000000.0,69.9616394043,38.8296051025,-35.1613845825,2796073000000.0,75.2147521973,16.7256011963,-25.2877597809,2799821000000.0,66.8120422363,0.302001953125,-40.3377304077,2797381000000.0,65.9697265625,-12.8044128418,-38.8109130859,2799225000000.0,48.0571289062,-12.9225158691,-38.9764251709,2835273000000,67.7079772949,-28.5595703125,-38.3200073242
2821373000000.0,68.1879730225,37.8620605469,-34.7411880493,2796173000000.0,73.1385192871,15.0669403076,-24.6748828888,2799897000000.0,64.646987915,-0.42121887207,-40.6221733093,2797489000000.0,63.7817687988,-13.5922393799,-38.8456802368,2799313000000.0,45.7360839844,-13.7541809082,-39.0408973694,2835365000000,66.5094299316,-26.7416992188,-40.279964447
2821497000000.0,66.1964263916,36.2618103027,-34.7334976196,2796345000000.0,72.1253051758,14.3572235107,-26.6630477905,2800001000000.0,62.4819641113,-1.14443969727,-40.9066200256,2797589000000.0,61.5938110352,-14.3800506592,-38.8804512024,2799441000000.0,43.4150695801,-14.5858612061,-39.1053657532,2835489000000,64.450012207,-27.1039123535,-40.4317207336
2821577000000.0,64.8709106445,34.2895202637,-32.4813690186,2796345000000.0,72.1932067871,14.041229248,-26.6194972992,2800113000000.0,60.3168945312,-1.86766052246,-41.1910667419,2797689000000.0,59.4058227539,-15.1678619385,-38.915222168,2799525000000.0,41.0940246582,-15.4175262451,-39.1698379517,2835573000000,62.3905944824,-27.4661560059,-40.583480835
2821721000000.0,64.1357421875,33.0995483398,-32.5252876282,2796433000000.0,69.8641967773,13.2188873291,-28.1536445618,2800201000000.0,58.1518554688,-2.59088134766,-41.4755134583,2797789000000.0,57.2178649902,-15.9556732178,-38.9499931335,2799681000000.0,40.1383972168,-16.837097168,-33.8055038452,2835717000000,60.3311462402,-27.8283996582,-40.7352371216
2821813000000.0,61.9899597168,32.0917816162,-32.5800018311,2796521000000.0,68.0153808594,11.8125457764,-27.8064212799,2800301000000.0,58.4161682129,1.36506652832,-40.0397377014,2797937000000.0,55.0299072266,-16.7434997559,-38.9847640991,2799769000000.0,37.9097900391,-17.7085571289,-33.6680450439,2835817000000,58.2717285156,-28.1906433105,-40.8869972229
2821889000000.0,59.9772949219,30.1944122314,-33.261390686,2796593000000.0,66.1665496826,10.4061889648,-27.4591999054,2800401000000.0,56.4267578125,0.98014831543,-40.2446784973,2798029000000.0,52.8419494629,-17.5313110352,-39.01953125,2799853000000.0,35.6811523438,-18.5800170898,-33.5305862427,2835913000000,56.212310791,-28.5528869629,-41.0387535095
2821957000000.0,59.4342041016,28.9549560547,-33.4927368164,2796729000000.0,64.3177337646,8.99983215332,-27.1119766235,2800513000000.0,54.3268737793,2.49549865723,-40.0758018494,2798121000000.0,53.7081604004,-14.166595459,-39.284954071,2799929000000.0,33.452545166,-19.4514770508,-33.3931274414,2836009000000,54.1528625488,-28.9151306152,-41.1905136108
2822089000000.0,57.5548400879,27.3082885742,-33.985660553,2796809000000.0,62.4689025879,7.5934753418,-26.7647533417,2800649000000.0,53.75,2.39990234375,-40.081867218,2798205000000.0,51.7195129395,-14.6834259033,-39.3302955627,2800025000000.0,31.2239074707,-20.3229675293,-33.2556686401,2836097000000,52.0934448242,-29.2773742676,-41.3422737122
2822165000000.0,56.0801086426,25.7890014648,-34.2748718262,2796889000000.0,61.2209777832,7.74354553223,-28.8266887665,2800721000000.0,51.8760070801,2.18348693848,-40.2614212036,2798301000000.0,49.7308654785,-15.2002563477,-39.3756332397,2800121000000.0,36.496673584,-14.8132019043,-35.3459243774,2836185000000,50.0340270996,-29.6396179199,-41.4940299988
2822313000000.0,54.6440124512,24.664855957,-34.4344482422,2797001000000.0,59.4182434082,6.45657348633,-28.6057357788,2800821000000.0,50.0020141602,1.9670715332,-40.4409713745,2798437000000.0,49.1159973145,-13.3005371094,-40.0177345276,2800209000000.0,34.8376159668,-15.2001342773,-35.2958335876,2836273000000,47.9745788574,-30.0018615723,-41.6457901001
2822401000000.0,53.0002441406,23.1793518066,-34.7199287415,2797097000000.0,56.6983947754,6.12762451172,-31.3502483368,2800917000000.0,49.3327941895,3.07403564453,-43.3102149963,2798529000000.0,47.2369995117,-13.6244812012,-40.08984375,2800305000000.0,33.1785888672,-15.5870666504,-35.2457427979,2836373000000,45.9151611328,-30.364074707,-41.7975463867
2822477000000.0,51.2973327637,21.6708068848,-34.742805481,2797205000000.0,54.7524719238,5.14585876465,-32.0301437378,2800917000000.0,47.7818908691,3.90612792969,-43.2919883728,2798609000000.0,45.358001709,-13.948425293,-40.1619529724,2800473000000.0,31.5195617676,-15.9739990234,-35.1956520081,2836521000000,43.8557434082,-30.7263183594,-41.949306488
2822581000000.0,49.5943908691,20.1622619629,-34.7656822205,2797305000000.0,52.8675537109,3.95832824707,-32.0002861023,2801041000000.0,46.0282592773,3.8825378418,-43.5820846558,2798689000000.0,43.4790039062,-14.272354126,-40.2340621948,2800565000000.0,29.8605041504,-16.3609313965,-35.1455612183,2836609000000,41.796295166,-31.0885620117,-42.1010627747
2822661000000.0,49.5624084473,19.7572021484,-34.943195343,2797441000000.0,50.982635498,2.77081298828,-31.9704284668,2801117000000.0,44.274597168,3.85893249512,-43.872177124,2798829000000.0,41.6000061035,-14.5962982178,-40.3061714172,2800649000000.0,32.7506408691,-11.3027191162,-35.2898216248,2836681000000,39.7368774414,-31.4508056641,-42.252822876
2822789000000.0,47.4907226562,18.6094665527,-35.0194892883,2797517000000.0,49.0977172852,1.58329772949,-31.9405708313,2801253000000.0,42.5209350586,3.83534240723,-44.162273407,2798921000000.0,41.9423522949,-12.2828979492,-39.8459587097,2800725000000.0,31.3848571777,-10.8202209473,-37.3777046204,2836789000000,37.6774597168,-31.8130493164,-42.4045791626
2822873000000.0,45.9663085938,17.4982147217,-35.038520813,2797593000000.0,47.2127990723,0.395767211914,-31.9107131958,2801321000000.0,41.6003723145,4.12329101562,-43.738899231,2799001000000.0,40.2326049805,-12.4058837891,-39.8947143555,2800865000000.0,30.0671691895,-10.7547454834,-37.4245071411,2836889000000,35.6180114746,-32.1752929688,-42.5563392639
2823013000000.0,44.3660583496,16.1302185059,-35.0717735291,2797745000000.0,47.9799194336,-0.458786010742,-33.7400817871,2801461000000.0,39.9133605957,4.12461853027,-43.9946022034,2799101000000.0,39.4929504395,-11.8533477783,-43.661907196,2800941000000.0,28.7494812012,-10.6892852783,-37.4713134766,2837029000000,33.55859375,-32.5375366211,-42.7080955505
2823101000000.0,42.5811767578,15.4484558105,-35.414150238,2797825000000.0,46.1428222656,-1.51783752441,-34.5726776123,2801549000000.0,37.9166259766,4.80471801758,-43.6245307922,2799201000000.0,37.8643798828,-11.9198150635,-43.8744621277,2801029000000.0,27.4317932129,-10.6238250732,-37.5181159973,2837121000000,31.4991760254,-32.8997802734,-42.8598556519
2823197000000.0,41.1456604004,14.6562957764,-35.1702079773,2797909000000.0,44.4481506348,-2.67115783691,-34.6728858948,2801621000000.0,36.2035522461,4.86317443848,-43.8499679565,2799305000000.0,36.2358093262,-11.9862823486,-44.0870170593,2801145000000.0,27.0387573242,-8.35903930664,-38.2060546875,2837205000000,29.4397277832,-33.2620239258,-43.0116119385
2823285000000.0,38.6256103516,14.4533996582,-34.7530136108,2798001000000.0,43.5162963867,-2.57221984863,-35.4985427856,2801713000000.0,34.490447998,4.92163085938,-44.0754051208,2799397000000.0,35.022064209,-10.6665496826,-42.2261238098,2801233000000.0,25.7953186035,-8.11697387695,-38.2814903259,2837289000000,27.3803100586,-33.6242370605,-43.1633720398
2823413000000.0,36.5148925781,13.7220306396,-34.2473640442,2798101000000.0,41.8874511719,-3.61755371094,-35.6345901489,2801809000000.0,33.2945556641,5.21630859375,-43.3652381897,2799541000000.0,33.4278564453,-10.6182098389,-42.3456382751,2801357000000.0,24.6081542969,-7.92575073242,-40.8916053772,2837425000000,25.320892334,-33.9864807129,-43.3151283264
2823497000000.0,34.5601196289,13.1261291504,-32.9093284607,2798205000000.0,40.2585754395,-4.66287231445,-35.7706336975,2801917000000.0,32.2658996582,4.73773193359,-42.7298355103,2799625000000.0,33.127166748,-10.1093597412,-42.8949127197,2801437000000.0,24.4538879395,-7.70657348633,-40.1066055298,2837509000000,23.2614440918,-34.3487243652,-43.4668884277
2823581000000.0,33.713684082,11.636428833,-33.0459327698,2798309000000.0,40.4432678223,-4.1301574707,-36.1332397461,2802117000000.0,30.6528320312,4.63372802734,-42.8864250183,2799709000000.0,31.643157959,-10.021774292,-43.0340538025,2801529000000.0,23.3107910156,-7.47044372559,-40.2525939941,2837589000000,21.2020263672,-34.7109680176,-43.6186447144
2823689000000.0,32.0521850586,10.5192260742,-32.9663276672,2798409000000.0,38.964630127,-5.04479980469,-36.2804527283,2802201000000.0,29.0382385254,4.65144348145,-43.0275421143,2799813000000.0,30.1591491699,-9.93420410156,-43.1731987,2801637000000.0,22.1676940918,-7.23432922363,-40.3985824585,2837677000000,19.1426086426,-35.0732116699,-43.7704048157
2823781000000.0,30.3906860352,9.40200805664,-32.8867225647,2798521000000.0,37.4859619141,-5.95942687988,-36.4276618958,2802289000000.0,28.493347168,4.94229125977,-43.0454826355,2799909000000.0,28.6751708984,-9.84661865234,-43.3123435974,2801729000000.0,21.0246276855,-6.99821472168,-40.5445709229,2837809000000,34.508605957,-19.3939819336,-40.122467041
2823885000000.0,28.360748291,9.76531982422,-32.846622467,2798605000000.0,37.6599121094,-5.21646118164,-35.3940391541,2802369000000.0,26.9336547852,5.83950805664,-42.0381355286,2800009000000.0,27.1911621094,-9.75903320312,-43.4514846802,2801857000000.0,19.8815307617,-6.76208496094,-40.6905593872,2837901000000,33.1564025879,-19.1051635742,-40.1555175781
2823985000000.0,26.9062805176,8.9584197998,-32.7324752808,2798741000000.0,35.4451293945,-5.71806335449,-35.9218330383,2802453000000.0,26.0418395996,5.24765014648,-42.0119056702,2800113000000.0,25.7071533203,-9.6714630127,-43.5906295776,2801945000000.0,18.7384643555,-6.52597045898,-40.8365478516,2837977000000,31.8041992188,-18.8163452148,-40.1885681152
2824085000000.0,27.3005371094,7.69323730469,-32.8000907898,2798817000000.0,34.0265197754,-6.4727935791,-36.03282547,2802529000000.0,24.5739440918,5.30137634277,-42.0832099915,2800269000000.0,26.3370666504,-8.98220825195,-41.7026939392,2802021000000.0,17.5953674316,-6.28984069824,-40.9825363159,2838077000000,30.4519958496,-18.5275268555,-40.221622467
2824177000000.0,25.0713806152,7.01037597656,-32.2640571594,2798893000000.0,32.6079101562,-7.22752380371,-36.1438140869,2802673000000.0,23.1060791016,5.35511779785,-42.154510498,2800353000000.0,25.0077514648,-8.85061645508,-41.7494468689,2802121000000.0,18.9498291016,-6.0848236084,-42.7698783875,2838181000000,37.5628662109,-14.1449584961,-39.696018219
2824281000000.0,24.2521972656,6.35293579102,-32.9424743652,2798993000000.0,32.3213195801,-6.57713317871,-37.0961112976,2802749000000.0,23.052520752,5.39219665527,-41.7576560974,2800441000000.0,23.6784057617,-8.71900939941,-41.7961997986,2802225000000.0,17.9833068848,-5.85090637207,-42.9933204651,2838269000000,36.9065551758,-13.5195159912,-39.7108192444
2824281000000.0,24.7548522949,6.23176574707,-32.0072212219,2799141000000.0,30.9688110352,-6.93569946289,-37.2971153259,2802833000000.0,21.9078674316,5.52824401855,-42.8769226074,2800517000000.0,22.3490905762,-8.58740234375,-41.8429489136,2802321000000.0,17.0168151855,-5.61697387695,-43.216758728,2838425000000,36.2502746582,-12.8940887451,-39.7256164551
2824381000000.0,23.4371643066,5.71185302734,-32.4519081116,2799241000000.0,29.8613891602,-6.85049438477,-37.5607376099,2802925000000.0,21.6696472168,4.63433837891,-43.3155670166,2800657000000.0,21.019744873,-8.45581054688,-41.8897018433,2802425000000.0,16.0503234863,-5.38305664062,-43.440196991,2838517000000,32.6143188477,-12.5489807129,-39.3082885742
2824465000000.0,23.168548584,5.44465637207,-32.8684692383,2799317000000.0,28.5541381836,-7.40158081055,-37.7209815979,2803089000000.0,20.1493530273,5.30953979492,-43.4596939087,2800737000000.0,21.8301696777,-7.33041381836,-4.94678068161,2802517000000.0,15.0838317871,-5.1491394043,-43.6636390686,2838597000000,31.69921875,-11.9478759766,-39.3077278137
2824605000000.0,21.7434082031,5.02265930176,-32.9852905273,2799413000000.0,28.4160766602,-6.89584350586,-37.9518470764,2803165000000.0,19.082244873,5.56727600098,-43.5307922363,2800825000000.0,20.6614685059,-7.12422180176,-3.3540365696,2802613000000.0,14.1173095703,-4.91520690918,-43.8870773315,2838693000000,30.7841186523,-11.346786499,-39.3071670532
2824689000000.0,20.3442077637,4.84899902344,-33.228061676,2799509000000.0,27.2106628418,-7.3549041748,-38.115688324,2803241000000.0,17.8395996094,5.62481689453,-43.6503181458,2800921000000.0,19.4927368164,-6.91802978516,-1.761292696,2802765000000.0,13.1508178711,-4.68128967285,-44.1105194092,2838789000000,29.8690185547,-10.7456970215,-39.3066062927
2824773000000.0,19.008026123,4.80612182617,-33.4500961304,2799613000000.0,26.3232727051,-6.95651245117,-37.9809913635,2803369000000.0,17.7127990723,6.17587280273,-43.139465332,2801033000000.0,18.324005127,-6.71182250977,-0.168548792601,2802849000000.0,12.1843261719,-4.44737243652,-44.3339576721,2838873000000,27.9385681152,-12.319152832,-39.9283103943
2824865000000.0,16.6860656738,5.81553649902,-32.2093429565,2799713000000.0,24.484954834,-7.18783569336,-38.1298370361,2803441000000.0,16.5673828125,6.27641296387,-43.2245140076,2801125000000.0,19.9376220703,-5.29397583008,-14.39868927,2802933000000.0,11.2178344727,-4.21343994141,-44.5573997498,2838873000000,27.9288330078,-12.4632568359,-39.3550453186
