P1_time_percent,P1_Xc,P1_Yc,P1_W,P1_H,P1_angle,P2_time_percent,P2_Xc,P2_Yc,P2_W,P2_H,P2_angle,PD1_time_percent,PD1_Xc,PD1_Yc,PD1_W,PD1_H,PD1_angle,PD2_time_percent,PD2_Xc,PD2_Yc,PD2_W,PD2_H,PD2_angle,PD3_time_percent,PD3_Xc,PD3_Yc,PD3_W,PD3_H,PD3_angle,PD4_time_percent,PD4_Xc,PD4_Yc,PD4_W,PD4_H,PD4_angle
,,,,,,1.54393924940335E+018,131.87310791,97.2295684814,90.7755279541,95.3186035156,1.38624167442,1.54393814820387E+018,171.383361816,127.111045837,109.384262085,111.49886322,1.47472429276,1.54393850950905E+018,175.10949707,129.12802124,130.082870483,140.36491394,-3.89611721039,1.54402788639497E+018,267.090454102,126.239486694,84.2978057861,79.9400863647,-7.90096712112,1.54402865590687E+018,169.407440186,90.197769165,120.81476593,126.859222412,-10.2535943985
,,,,,,1.54393924951575E+018,133.824401855,97.6740875244,90.5149230957,94.3168792725,0.880908191204,1.54393814831228E+018,172.6431427,129.444244385,110.444770813,110.209953308,2.15146660805,1.54393850950976E+018,173.972579956,127.658836365,131.548858643,140.153076172,-2.28773355484,1.54402788652296E+018,269.898345947,130.587356567,83.8348083496,84.7766189575,-5.64250850677,1.54402865599514E+018,165.950668335,88.1624984741,128.975662231,130.002593994,-13.8983049393
,,,,,,1.54393924962501E+018,138.10144043,99.8240661621,96.1677856445,98.3418045044,5.20934581757,1.5439381483143E+018,172.26776123,131.115280151,115.149856567,115.879463196,5.99986028671,1.54393850961835E+018,180.567428589,124.555526733,133.643127441,140.521469116,-4.63445234299,1.54402788652368E+018,269.0730896,131.050109863,83.4700393677,88.6731948853,-7.63014221191,1.54402865599592E+018,166.85508728,87.1137542725,122.805778503,125.732406616,-9.22692871094
,,,,,,1.54393924962583E+018,138.276184082,100.993896484,95.5227508545,100.696289062,-0.260315150023,1.54393814831679E+018,169.803085327,132.547653198,120.078971863,117.776100159,0.462577939034,1.54393850975157E+018,183.678482056,122.213768005,133.337341309,141.189147949,-5.59398841858,1.54402788667203E+018,270.252380371,131.368453979,84.3915557861,89.4929351807,-9.06959342957,1.54402865605411E+018,165.408981323,89.2365264893,116.451278687,122.296447754,-6.45301437378
,,,,,,1.54393924974539E+018,143.454483032,98.7514266968,93.8458709717,98.6111526489,-0.0228906553239,1.54393814844916E+018,170.706787109,130.699783325,117.813804626,119.563201904,0.461055219173,1.54393850988661E+018,182.669174194,116.80052948,133.298599243,136.703460693,-5.92345333099,1.54402788681606E+018,270.007049561,134.55569458,81.7795791626,87.2181777954,-6.79295396805,1.54402865613681E+018,158.579681396,90.3261184692,113.937789917,120.60295105,-1.10115456581
,,,,,,1.54393924974619E+018,143.503936768,97.4803466797,92.7449188232,97.013671875,0.21723382175,1.54393814857754E+018,169.035568237,131.063766479,117.223266602,121.206268311,1.61618554592,1.54393851000357E+018,183.821762085,111.254127502,128.354400635,131.888565063,-8.60464954376,1.54402788681665E+018,270.563598633,135.584060669,83.1568984985,85.1281661987,-8.14610958099,1.54402865613759E+018,155.766479492,90.2325973511,111.669067383,115.212249756,0.835938751698
,,,,,,1.54393924988109E+018,147.906219482,103.687072754,92.3800964355,95.1874084473,-1.85252773762,1.54393814857887E+018,170.318435669,130.677932739,119.397476196,119.035423279,1.00782763958,1.54393851000426E+018,183.219009399,111.196685791,126.154212952,133.915283203,-8.39091014862,1.54402788716852E+018,272.011566162,139.572128296,82.6511611938,86.0924301147,-10.3156862259,1.54402865621532E+018,158.190093994,92.022605896,111.719802856,113.115699768,2.44517064095
,,,,,,1.54393924988115E+018,150.081756592,106.204872131,92.9286270142,92.0369186401,-0.838609278202,1.54393814868552E+018,168.538040161,130.400039673,126.610160828,127.534095764,-0.785564363003,1.54393851014125E+018,185.206665039,102.454322815,125.36466217,129.310958862,-4.68694210052,1.54402788730808E+018,272.451690674,147.580596924,82.0240783691,83.5305786133,-7.87663841248,1.54402865629619E+018,161.809234619,89.2332611084,108.502319336,113.311737061,3.92285490036
,,,,,,1.54393924999024E+018,147.903121948,111.57144928,91.9452438354,93.4632720947,-1.32488310337,1.54393814882022E+018,165.178466797,130.068969727,124.194755554,129.655838013,-0.487617880106,1.54393851024382E+018,186.384521484,96.8682022095,124.094459534,127.882888794,-4.6434969902,1.54402788730913E+018,271.526977539,149.716400146,81.3472824097,80.6699676514,-9.41724586487,1.54402865629716E+018,164.595275879,88.9839935303,120.04158783,123.350059509,-3.32282114029
,,,,,,1.54393925012858E+018,151.239074707,111.925521851,90.8237075806,92.5854949951,-1.48997735977,1.54393814894431E+018,164.747070312,129.849731445,124.273651123,125.160514832,-0.100340142846,1.5439385103731E+018,185.633712769,93.3731536865,126.600585938,128.266555786,-5.0055270195,1.54402788745365E+018,270.574798584,149.424072266,79.9702529907,83.5292663574,-7.90945386887,1.54402865637335E+018,159.090515137,91.3938369751,117.124053955,122.098991394,-0.471497446299
,,,,,,1.54393925021362E+018,154.606567383,120.315513611,90.8622131348,91.2825317383,-1.99947440624,1.54393814894521E+018,163.715133667,130.256072998,123.893867493,127.154510498,3.47785758972,1.54393851046593E+018,190.553161621,89.7477111816,134.470275879,137.235549927,2.67224287987,1.54402788751618E+018,270.2421875,152.438064575,81.1775588989,82.5361328125,-3.47419285774,1.54402865645902E+018,161.8152771,90.3980178833,115.720993042,121.373153687,-2.32424521446
,,,,,,1.5439392503091E+018,150.391342163,122.166267395,91.3639450073,91.6499404907,-0.830950915813,1.54393814913898E+018,156.261734009,135.265258789,122.729919434,121.480491638,1.08522045612,1.54393851046681E+018,190.367889404,89.6681518555,133.304397583,134.480392456,-1.20037078857,1.54402788751668E+018,269.473754883,153.608688354,80.8205108643,82.5109405518,-4.00518369675,1.54402865646104E+018,163.892105103,90.1811676025,117.081108093,116.416503906,0.0323902070522
